# テストケース1-1　正常ケース：引数1と2が共に最小値（=1）の場合
1,1,1
# テストケース1-2　正常ケース：引数1が最大値の場合
9223372036854775807,1,1
# テストケース1-3　正常ケース：引数2が最大値の場合
1,9223372036854775807,1
# テストケース1-4　正常ケース：引数1と2が共に最大値の場合
9223372036854775807,9223372036854775807,9223372036854775807
# テストケース1-5　正常ケース
9,9999999999,9
# テストケース1-6　正常ケース
9999999999,9,9
# テストケース1-7　正常ケース
31457280,1024,1024
# テストケース1-8　正常ケース
1024,31457280,1024

# テストケース2-1　異常ケース：引数1が整数であるが自然数でない(=0)場合
0,1,NG
# テストケース2-2　異常ケース：引数1が整数であるが自然数でない(=負値)場合
-1,1,NG
# テストケース2-3　異常ケース：引数1が英小文字の場合
a,1,NG
# テストケース2-4　異常ケース：引数1が英大文字の場合
Z,1,NG
# テストケース2-5　異常ケース：引数1が特殊記号の場合
?,1,NG

# テストケース3-1　異常ケース：引数2が整数であるが自然数でない(=0)場合
1,0,NG
# テストケース3-2　異常ケース：引数2が整数であるが自然数でない(=負値)場合
1,-1,NG
# テストケース3-3　異常ケース：引数2が英小文字の場合
1,a,NG
# テストケース3-4　異常ケース：引数2が英大文字の場合
1,Z,NG
# テストケース3-5　異常ケース：引数2が特殊記号の場合
1,?,NG

# テストケース4-1　異常ケース：引数1が最大値を超えた場合
9223372036854775808,1,NG
# テストケース4-2　異常ケース：引数2が最大値を超えた場合
1,9223372036854775808,NG

# テストケース5-1　テストツール動作確認：期待値と違った場合（最大公約数）は結果にNG表示
2,8,3
# テストケース5-1　テストツール動作確認：期待値と違った場合（引数エラー）は結果にNG表示
a,8,OK
